"Name","Date","All cause","Covid-19 Deaths"
"Stockport",2020-04-14,15,7
"Stockton-on-Tees",2020-04-14,4,0
"Stoke-on-Trent",2020-04-14,4,2
"Suffolk",2020-04-14,13,5
"Sunderland",2020-04-14,15,4
"Surrey",2020-04-14,50,10
"Sutton",2020-04-14,5,1
"Swindon",2020-04-14,5,3
"Tameside",2020-04-14,7,4
"Telford and Wrekin",2020-04-14,2,0
"Thurrock",2020-04-14,3,1
"Torbay",2020-04-14,7,2
"Tower Hamlets",2020-04-14,0,0
"Trafford",2020-04-14,7,2
"Wakefield",2020-04-14,13,9
"Walsall",2020-04-14,11,5
"Waltham Forest",2020-04-14,0,0
"Wandsworth",2020-04-14,6,1
"Warrington",2020-04-14,5,1
"Warwickshire",2020-04-14,15,2
"West Berkshire",2020-04-14,3,1
"West Sussex",2020-04-14,27,8
"Westminster",2020-04-14,1,0
"Wigan",2020-04-14,11,2
"Wiltshire",2020-04-14,11,4
"Windsor and Maidenhead",2020-04-14,15,8
"Wirral",2020-04-14,5,1
"Wokingham",2020-04-14,5,2
"Wolverhampton",2020-04-14,10,5
"Worcestershire",2020-04-14,24,8
"York",2020-04-14,5,1
"Notes:",2020-04-14,,
"1. Data provided by Care Quality Commission",2020-04-14,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-14,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-14,,
"England",2020-04-15,1253,407
"Barking and Dagenham",2020-04-15,2,0
"Barnet",2020-04-15,4,0
"Barnsley",2020-04-15,4,0
"Bath and North East Somerset",2020-04-15,4,4
"Bedford",2020-04-15,3,3
"Bexley",2020-04-15,10,6
"Birmingham",2020-04-15,16,6
"Blackburn with Darwen",2020-04-15,1,0
"Blackpool",2020-04-15,1,0
"Bolton",2020-04-15,16,4
"Bournemouth, Christchurch and Poole",2020-04-15,16,0
"Bracknell Forest",2020-04-15,0,0
"Bradford",2020-04-15,8,2
"Brent",2020-04-15,3,1
"Brighton and Hove",2020-04-15,8,0
"Bristol, City of",2020-04-15,3,1
"Bromley",2020-04-15,5,2
"Buckinghamshire",2020-04-15,15,10
"Bury",2020-04-15,3,2
"Calderdale",2020-04-15,3,0
"Cambridgeshire",2020-04-15,10,0
"Camden",2020-04-15,2,0
"Central Bedfordshire",2020-04-15,2,1
"Cheshire East",2020-04-15,8,2
"Cheshire West and Chester",2020-04-15,12,2
"Cornwall",2020-04-15,4,1
"County Durham",2020-04-15,18,7
"Coventry",2020-04-15,7,4
"Croydon",2020-04-15,14,6
"Cumbria",2020-04-15,15,7
"Darlington",2020-04-15,4,0
"Derby",2020-04-15,7,4
"Derbyshire",2020-04-15,22,5
"Devon",2020-04-15,13,3
"Doncaster",2020-04-15,4,0
"Dorset",2020-04-15,1,0
"Dudley",2020-04-15,5,3
"Ealing",2020-04-15,11,8
"East Riding of Yorkshire",2020-04-15,6,1
"East Sussex",2020-04-15,13,1
"Enfield",2020-04-15,8,3
"Essex",2020-04-15,31,8
"Gateshead",2020-04-15,9,5
"Gloucestershire",2020-04-15,17,10
"Greenwich",2020-04-15,4,2
"Hackney",2020-04-15,0,0
"Halton",2020-04-15,0,0
"Hammersmith and Fulham",2020-04-15,1,0
"Hampshire",2020-04-15,31,11
"Haringey",2020-04-15,1,1
"Harrow",2020-04-15,2,2
"Hartlepool",2020-04-15,3,0
"Havering",2020-04-15,4,1
"Herefordshire, County of",2020-04-15,2,0
"Hertfordshire",2020-04-15,38,12
"Hillingdon",2020-04-15,16,9
"Hounslow",2020-04-15,6,2
"Isle of Wight",2020-04-15,1,1
"Islington",2020-04-15,2,1
"Kensington and Chelsea",2020-04-15,0,0
"Kent",2020-04-15,39,15
"Kingston upon Hull, City of",2020-04-15,3,1
"Kingston upon Thames",2020-04-15,10,5
"Kirklees",2020-04-15,24,8
"Knowsley",2020-04-15,7,3
"Lambeth",2020-04-15,8,1
"Lancashire",2020-04-15,12,4
"Leeds",2020-04-15,35,6
"Leicester",2020-04-15,4,2
"Leicestershire",2020-04-15,4,1
"Lewisham",2020-04-15,4,0
"Lincolnshire",2020-04-15,14,1
"Liverpool",2020-04-15,11,4
"Luton",2020-04-15,4,0
"Manchester",2020-04-15,3,2
"Medway",2020-04-15,0,0
"Merton",2020-04-15,6,3
"Middlesbrough",2020-04-15,7,0
"Milton Keynes",2020-04-15,11,2
"Newcastle upon Tyne",2020-04-15,6,3
"Newham",2020-04-15,1,0
"Norfolk",2020-04-15,13,1
"North East Lincolnshire",2020-04-15,1,0
"North Lincolnshire",2020-04-15,5,0
"North Somerset",2020-04-15,3,0
"North Tyneside",2020-04-15,11,4
"North Yorkshire",2020-04-15,18,8
"Northamptonshire",2020-04-15,12,2
"Northumberland",2020-04-15,11,1
"Nottingham",2020-04-15,3,2
"Nottinghamshire",2020-04-15,28,12
"Oldham",2020-04-15,12,4
"Oxfordshire",2020-04-15,25,13
"Peterborough",2020-04-15,5,3
"Plymouth",2020-04-15,4,2
"Portsmouth",2020-04-15,3,1
"Reading",2020-04-15,3,1
"Redbridge",2020-04-15,2,2
"Redcar and Cleveland",2020-04-15,7,2
"Richmond upon Thames",2020-04-15,6,0
"Rochdale",2020-04-15,2,0
"Rotherham",2020-04-15,8,4
"Rutland",2020-04-15,0,0
"Salford",2020-04-15,6,4
"Sandwell",2020-04-15,6,1
"Sefton",2020-04-15,15,3
"Sheffield",2020-04-15,17,10
"Shropshire",2020-04-15,5,0
"Slough",2020-04-15,5,0
"Solihull",2020-04-15,4,0
"Somerset",2020-04-15,7,2
"South Gloucestershire",2020-04-15,7,0
"South Tyneside",2020-04-15,2,1
"Southampton",2020-04-15,3,1
"Southend-on-Sea",2020-04-15,6,1
"Southwark",2020-04-15,0,0
"St. Helens",2020-04-15,4,3
"Staffordshire",2020-04-15,17,6
"Stockport",2020-04-15,10,5
"Stockton-on-Tees",2020-04-15,7,2
"Stoke-on-Trent",2020-04-15,5,3
"Suffolk",2020-04-15,27,8
"Sunderland",2020-04-15,11,1
"Surrey",2020-04-15,36,11
"Sutton",2020-04-15,2,1
"Swindon",2020-04-15,7,2
"Tameside",2020-04-15,5,4
"Telford and Wrekin",2020-04-15,3,0
"Thurrock",2020-04-15,1,0
"Torbay",2020-04-15,5,3
"Tower Hamlets",2020-04-15,2,1
"Trafford",2020-04-15,3,0
"Wakefield",2020-04-15,3,1
"Walsall",2020-04-15,6,2
"Waltham Forest",2020-04-15,0,0
"Wandsworth",2020-04-15,8,5
"Warrington",2020-04-15,6,2
"Warwickshire",2020-04-15,25,5
"West Berkshire",2020-04-15,5,2
"West Sussex",2020-04-15,19,3
"Westminster",2020-04-15,3,0
"Wigan",2020-04-15,10,4
"Wiltshire",2020-04-15,13,4
"Windsor and Maidenhead",2020-04-15,5,3
"Wirral",2020-04-15,12,6
"Wokingham",2020-04-15,8,4
"Wolverhampton",2020-04-15,8,3
"Worcestershire",2020-04-15,15,2
"York",2020-04-15,5,1
"Notes:",2020-04-15,,
"1. Data provided by Care Quality Commission",2020-04-15,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-15,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-15,,
"England",2020-04-16,984,353
"Barking and Dagenham",2020-04-16,1,1
"Barnet",2020-04-16,12,2
"Barnsley",2020-04-16,5,2
"Bath and North East Somerset",2020-04-16,6,5
"Bedford",2020-04-16,0,0
"Bexley",2020-04-16,4,1
"Birmingham",2020-04-16,14,3
"Blackburn with Darwen",2020-04-16,1,0
"Blackpool",2020-04-16,2,0
"Bolton",2020-04-16,1,1
"Bournemouth, Christchurch and Poole",2020-04-16,5,2
"Bracknell Forest",2020-04-16,0,0
"Bradford",2020-04-16,7,1
"Brent",2020-04-16,9,7
"Brighton and Hove",2020-04-16,2,2
"Bristol, City of",2020-04-16,4,4
"Bromley",2020-04-16,4,1
"Buckinghamshire",2020-04-16,15,8
"Bury",2020-04-16,0,0
"Calderdale",2020-04-16,4,0
"Cambridgeshire",2020-04-16,4,1
"Camden",2020-04-16,1,0
"Central Bedfordshire",2020-04-16,6,1
"Cheshire East",2020-04-16,13,7
"Cheshire West and Chester",2020-04-16,8,5
"Cornwall",2020-04-16,7,1
"County Durham",2020-04-16,25,8
"Coventry",2020-04-16,7,3
"Croydon",2020-04-16,7,0
"Cumbria",2020-04-16,6,5
"Darlington",2020-04-16,1,0
"Derby",2020-04-16,4,1
"Derbyshire",2020-04-16,20,3
"Devon",2020-04-16,13,1
"Doncaster",2020-04-16,4,0
"Dorset",2020-04-16,7,4
"Dudley",2020-04-16,1,1
"Ealing",2020-04-16,8,7
"East Riding of Yorkshire",2020-04-16,6,1
"East Sussex",2020-04-16,12,0
"Enfield",2020-04-16,13,7
"Essex",2020-04-16,31,5
"Gateshead",2020-04-16,9,3
"Gloucestershire",2020-04-16,12,5
"Greenwich",2020-04-16,2,0
"Hackney",2020-04-16,0,0
"Halton",2020-04-16,1,1
"Hammersmith and Fulham",2020-04-16,1,1
"Hampshire",2020-04-16,39,12
"Haringey",2020-04-16,3,3
"Harrow",2020-04-16,1,1
"Hartlepool",2020-04-16,1,0
"Havering",2020-04-16,4,2
"Herefordshire, County of",2020-04-16,2,0
"Hertfordshire",2020-04-16,37,19
"Hillingdon",2020-04-16,2,0
"Hounslow",2020-04-16,3,0
"Isle of Wight",2020-04-16,0,0
"Islington",2020-04-16,2,2
"Kensington and Chelsea",2020-04-16,0,0
"Kent",2020-04-16,28,14
"Kingston upon Hull, City of",2020-04-16,3,1
"Kingston upon Thames",2020-04-16,8,1
"Kirklees",2020-04-16,10,2
"Knowsley",2020-04-16,1,0
"Lambeth",2020-04-16,3,0
"Lancashire",2020-04-16,14,3
"Leeds",2020-04-16,13,7
"Leicester",2020-04-16,5,2
"Leicestershire",2020-04-16,10,2
"Lewisham",2020-04-16,6,1
"Lincolnshire",2020-04-16,8,3
"Liverpool",2020-04-16,7,3
"Luton",2020-04-16,3,1
"Manchester",2020-04-16,5,1
"Medway",2020-04-16,1,0
"Merton",2020-04-16,1,1
"Middlesbrough",2020-04-16,7,3
"Milton Keynes",2020-04-16,11,5
"Newcastle upon Tyne",2020-04-16,7,3
"Newham",2020-04-16,7,1
"Norfolk",2020-04-16,19,9
"North East Lincolnshire",2020-04-16,2,0
"North Lincolnshire",2020-04-16,0,0
"North Somerset",2020-04-16,5,2
"North Tyneside",2020-04-16,3,0
"North Yorkshire",2020-04-16,12,4
"Northamptonshire",2020-04-16,12,4
"Northumberland",2020-04-16,11,4
"Nottingham",2020-04-16,6,3
"Nottinghamshire",2020-04-16,15,4
"Oldham",2020-04-16,4,1
"Oxfordshire",2020-04-16,13,6
"Peterborough",2020-04-16,4,0
"Plymouth",2020-04-16,6,0
"Portsmouth",2020-04-16,4,2
"Reading",2020-04-16,0,0
"Redbridge",2020-04-16,3,1
"Redcar and Cleveland",2020-04-16,1,1
"Richmond upon Thames",2020-04-16,2,1
"Rochdale",2020-04-16,4,3
"Rotherham",2020-04-16,4,0
"Rutland",2020-04-16,1,0
"Salford",2020-04-16,4,2
"Sandwell",2020-04-16,1,1
"Sefton",2020-04-16,8,3
"Sheffield",2020-04-16,14,6
"Shropshire",2020-04-16,6,2
"Slough",2020-04-16,0,0
"Solihull",2020-04-16,6,2
"Somerset",2020-04-16,10,2
"South Gloucestershire",2020-04-16,8,3
"South Tyneside",2020-04-16,4,0
"Southampton",2020-04-16,2,2
"Southend-on-Sea",2020-04-16,3,0
"Southwark",2020-04-16,0,0
"St. Helens",2020-04-16,1,0
"Staffordshire",2020-04-16,15,3
"Stockport",2020-04-16,5,4
"Stockton-on-Tees",2020-04-16,3,0
"Stoke-on-Trent",2020-04-16,2,1
"Suffolk",2020-04-16,10,5
"Sunderland",2020-04-16,15,6
"Surrey",2020-04-16,26,3
"Sutton",2020-04-16,5,1
"Swindon",2020-04-16,2,1
"Tameside",2020-04-16,1,0
"Telford and Wrekin",2020-04-16,8,0
"Thurrock",2020-04-16,1,0
"Torbay",2020-04-16,2,1
"Tower Hamlets",2020-04-16,1,1
"Trafford",2020-04-16,4,2
"Wakefield",2020-04-16,7,5
"Walsall",2020-04-16,6,5
"Waltham Forest",2020-04-16,2,0
"Wandsworth",2020-04-16,1,1
"Warrington",2020-04-16,8,5
"Warwickshire",2020-04-16,10,0
"West Berkshire",2020-04-16,2,2
"West Sussex",2020-04-16,22,7
"Westminster",2020-04-16,0,0
"Wigan",2020-04-16,4,2
"Wiltshire",2020-04-16,8,5
"Windsor and Maidenhead",2020-04-16,2,2
"Wirral",2020-04-16,14,9
"Wokingham",2020-04-16,3,1
"Wolverhampton",2020-04-16,4,0
"Worcestershire",2020-04-16,16,9
"York",2020-04-16,0,0
"Notes:",2020-04-16,,
"1. Data provided by Care Quality Commission",2020-04-16,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-16,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-16,,
"England",2020-04-17,1096,377
"Barking and Dagenham",2020-04-17,1,0
"Barnet",2020-04-17,7,0
"Barnsley",2020-04-17,3,1
"Bath and North East Somerset",2020-04-17,3,0
"Bedford",2020-04-17,6,4
"Bexley",2020-04-17,4,1
"Birmingham",2020-04-17,21,13
"Blackburn with Darwen",2020-04-17,0,0
"Blackpool",2020-04-17,5,2
"Bolton",2020-04-17,8,6
"Bournemouth, Christchurch and Poole",2020-04-17,12,1
"Bracknell Forest",2020-04-17,0,0
"Bradford",2020-04-17,9,5
"Brent",2020-04-17,3,0
"Brighton and Hove",2020-04-17,6,1
"Bristol, City of",2020-04-17,11,3
"Bromley",2020-04-17,4,2
"Buckinghamshire",2020-04-17,5,2
"Bury",2020-04-17,10,4
"Calderdale",2020-04-17,3,1
"Cambridgeshire",2020-04-17,12,5
"Camden",2020-04-17,0,0
"Central Bedfordshire",2020-04-17,5,1
"Cheshire East",2020-04-17,11,6
"Cheshire West and Chester",2020-04-17,2,1
"Cornwall",2020-04-17,7,2
"County Durham",2020-04-17,17,4
"Coventry",2020-04-17,7,2
"Croydon",2020-04-17,4,1
"Cumbria",2020-04-17,7,2
"Darlington",2020-04-17,1,1
"Derby",2020-04-17,9,2
"Derbyshire",2020-04-17,15,2
"Devon",2020-04-17,14,2
"Doncaster",2020-04-17,2,1
"Dorset",2020-04-17,9,1
"Dudley",2020-04-17,6,4
"Ealing",2020-04-17,8,2
"East Riding of Yorkshire",2020-04-17,9,5
"East Sussex",2020-04-17,11,4
"Enfield",2020-04-17,4,2
"Essex",2020-04-17,18,5
"Gateshead",2020-04-17,1,0
"Gloucestershire",2020-04-17,15,5
"Greenwich",2020-04-17,7,2
"Hackney",2020-04-17,0,0
"Halton",2020-04-17,0,0
"Hammersmith and Fulham",2020-04-17,3,1
"Hampshire",2020-04-17,44,14
"Haringey",2020-04-17,2,1
"Harrow",2020-04-17,3,3
"Hartlepool",2020-04-17,0,0
"Havering",2020-04-17,3,0
"Herefordshire, County of",2020-04-17,5,0
"Hertfordshire",2020-04-17,36,8
"Hillingdon",2020-04-17,8,3
"Hounslow",2020-04-17,6,0
"Isle of Wight",2020-04-17,2,0
"Islington",2020-04-17,4,2
"Kensington and Chelsea",2020-04-17,1,0
"Kent",2020-04-17,26,8
"Kingston upon Hull, City of",2020-04-17,5,1
"Kingston upon Thames",2020-04-17,9,3
"Kirklees",2020-04-17,14,7
"Knowsley",2020-04-17,2,2
"Lambeth",2020-04-17,3,1
"Lancashire",2020-04-17,18,5
"Leeds",2020-04-17,17,6
"Leicester",2020-04-17,5,1
"Leicestershire",2020-04-17,19,5
"Lewisham",2020-04-17,4,1
"Lincolnshire",2020-04-17,9,2
"Liverpool",2020-04-17,21,7
"Luton",2020-04-17,3,0
"Manchester",2020-04-17,5,1
"Medway",2020-04-17,2,0
"Merton",2020-04-17,1,1
"Middlesbrough",2020-04-17,3,1
"Milton Keynes",2020-04-17,6,3
"Newcastle upon Tyne",2020-04-17,7,2
"Newham",2020-04-17,4,2
"Norfolk",2020-04-17,20,7
"North East Lincolnshire",2020-04-17,4,0
"North Lincolnshire",2020-04-17,0,0
"North Somerset",2020-04-17,2,0
"North Tyneside",2020-04-17,6,4
"North Yorkshire",2020-04-17,14,6
"Northamptonshire",2020-04-17,11,2
"Northumberland",2020-04-17,10,4
"Nottingham",2020-04-17,2,0
"Nottinghamshire",2020-04-17,16,6
"Oldham",2020-04-17,0,0
"Oxfordshire",2020-04-17,13,7
"Peterborough",2020-04-17,6,1
"Plymouth",2020-04-17,0,0
"Portsmouth",2020-04-17,1,0
"Reading",2020-04-17,8,8
"Redbridge",2020-04-17,3,2
"Redcar and Cleveland",2020-04-17,2,1
"Richmond upon Thames",2020-04-17,3,2
"Rochdale",2020-04-17,2,2
"Rotherham",2020-04-17,6,3
"Rutland",2020-04-17,0,0
"Salford",2020-04-17,7,4
"Sandwell",2020-04-17,8,1
"Sefton",2020-04-17,4,0
"Sheffield",2020-04-17,15,7
"Shropshire",2020-04-17,6,0
"Slough",2020-04-17,4,1
"Solihull",2020-04-17,7,2
"Somerset",2020-04-17,12,2
"South Gloucestershire",2020-04-17,1,1
"South Tyneside",2020-04-17,2,2
"Southampton",2020-04-17,9,1
"Southend-on-Sea",2020-04-17,1,1
"Southwark",2020-04-17,0,0
"St. Helens",2020-04-17,4,2
"Staffordshire",2020-04-17,28,10
"Stockport",2020-04-17,1,0
"Stockton-on-Tees",2020-04-17,4,2
"Stoke-on-Trent",2020-04-17,2,0
"Suffolk",2020-04-17,17,3
"Sunderland",2020-04-17,14,8
"Surrey",2020-04-17,20,10
"Sutton",2020-04-17,2,1
"Swindon",2020-04-17,6,4
"Tameside",2020-04-17,5,3
"Telford and Wrekin",2020-04-17,8,3
"Thurrock",2020-04-17,9,0
"Torbay",2020-04-17,3,1
"Tower Hamlets",2020-04-17,0,0
"Trafford",2020-04-17,2,0
"Wakefield",2020-04-17,18,10
"Walsall",2020-04-17,4,0
"Waltham Forest",2020-04-17,1,0
"Wandsworth",2020-04-17,3,1
"Warrington",2020-04-17,8,5
"Warwickshire",2020-04-17,19,6
"West Berkshire",2020-04-17,6,3
"West Sussex",2020-04-17,21,3
"Westminster",2020-04-17,1,0
"Wigan",2020-04-17,6,1
"Wiltshire",2020-04-17,10,4
"Windsor and Maidenhead",2020-04-17,10,2
"Wirral",2020-04-17,6,5
"Wokingham",2020-04-17,2,2
"Wolverhampton",2020-04-17,5,3
"Worcestershire",2020-04-17,20,7
"York",2020-04-17,4,2
"Notes:",2020-04-17,,
"1. Data provided by Care Quality Commission",2020-04-17,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-17,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-17,,
"England",2020-04-18,259,102
"Barking and Dagenham",2020-04-18,0,0
"Barnet",2020-04-18,3,1
"Barnsley",2020-04-18,2,1
"Bath and North East Somerset",2020-04-18,0,0
"Bedford",2020-04-18,1,0
"Bexley",2020-04-18,2,2
"Birmingham",2020-04-18,1,1
"Blackburn with Darwen",2020-04-18,1,0
"Blackpool",2020-04-18,0,0
"Bolton",2020-04-18,4,2
"Bournemouth, Christchurch and Poole",2020-04-18,1,0
"Bracknell Forest",2020-04-18,0,0
"Bradford",2020-04-18,0,0
"Brent",2020-04-18,0,0
"Brighton and Hove",2020-04-18,1,1
"Bristol, City of",2020-04-18,5,5
"Bromley",2020-04-18,0,0
"Buckinghamshire",2020-04-18,4,0
"Bury",2020-04-18,0,0
"Calderdale",2020-04-18,0,0
"Cambridgeshire",2020-04-18,4,2
"Camden",2020-04-18,1,0
"Central Bedfordshire",2020-04-18,0,0
"Cheshire East",2020-04-18,3,2
"Cheshire West and Chester",2020-04-18,0,0
"Cornwall",2020-04-18,1,0
"County Durham",2020-04-18,9,4
"Coventry",2020-04-18,2,1
"Croydon",2020-04-18,3,0
"Cumbria",2020-04-18,15,10
"Darlington",2020-04-18,1,1
"Derby",2020-04-18,2,0
"Derbyshire",2020-04-18,9,3
"Devon",2020-04-18,1,0
"Doncaster",2020-04-18,3,0
"Dorset",2020-04-18,5,2
"Dudley",2020-04-18,1,1
"Ealing",2020-04-18,0,0
"East Riding of Yorkshire",2020-04-18,0,0
"East Sussex",2020-04-18,5,4
"Enfield",2020-04-18,2,0
"Essex",2020-04-18,9,1
"Gateshead",2020-04-18,0,0
"Gloucestershire",2020-04-18,7,4
"Greenwich",2020-04-18,1,1
"Hackney",2020-04-18,0,0
"Halton",2020-04-18,4,3
"Hammersmith and Fulham",2020-04-18,2,0
"Hampshire",2020-04-18,13,1
"Haringey",2020-04-18,1,1
"Harrow",2020-04-18,1,1
"Hartlepool",2020-04-18,0,0
"Havering",2020-04-18,0,0
"Herefordshire, County of",2020-04-18,0,0
"Hertfordshire",2020-04-18,6,1
"Hillingdon",2020-04-18,2,1
"Hounslow",2020-04-18,0,0
"Isle of Wight",2020-04-18,0,0
"Islington",2020-04-18,0,0
"Kensington and Chelsea",2020-04-18,0,0
"Kent",2020-04-18,4,0
"Kingston upon Hull, City of",2020-04-18,0,0
"Kingston upon Thames",2020-04-18,2,2
"Kirklees",2020-04-18,0,0
"Knowsley",2020-04-18,1,0
"Lambeth",2020-04-18,0,0
"Lancashire",2020-04-18,3,3
"Leeds",2020-04-18,1,1
"Leicester",2020-04-18,3,0
"Leicestershire",2020-04-18,2,1
"Lewisham",2020-04-18,0,0
"Lincolnshire",2020-04-18,2,0
"Liverpool",2020-04-18,1,1
"Luton",2020-04-18,2,0
"Manchester",2020-04-18,0,0
"Medway",2020-04-18,0,0
"Merton",2020-04-18,1,0
"Middlesbrough",2020-04-18,3,1
"Milton Keynes",2020-04-18,2,0
"Newcastle upon Tyne",2020-04-18,0,0
"Newham",2020-04-18,0,0
"Norfolk",2020-04-18,1,0
"North East Lincolnshire",2020-04-18,0,0
"North Lincolnshire",2020-04-18,0,0
"North Somerset",2020-04-18,0,0
"North Tyneside",2020-04-18,0,0
"North Yorkshire",2020-04-18,3,1
"Northamptonshire",2020-04-18,4,2
"Northumberland",2020-04-18,2,0
"Nottingham",2020-04-18,1,1
"Nottinghamshire",2020-04-18,2,2
"Oldham",2020-04-18,5,5
"Oxfordshire",2020-04-18,3,1
"Peterborough",2020-04-18,1,1
"Plymouth",2020-04-18,0,0
"Portsmouth",2020-04-18,0,0
"Reading",2020-04-18,0,0
"Redbridge",2020-04-18,0,0
"Redcar and Cleveland",2020-04-18,0,0
"Richmond upon Thames",2020-04-18,1,1
"Rochdale",2020-04-18,0,0
"Rotherham",2020-04-18,0,0
"Rutland",2020-04-18,0,0
"Salford",2020-04-18,2,2
"Sandwell",2020-04-18,3,0
"Sefton",2020-04-18,2,0
"Sheffield",2020-04-18,2,1
"Shropshire",2020-04-18,1,0
"Slough",2020-04-18,1,0
"Solihull",2020-04-18,0,0
"Somerset",2020-04-18,8,3
"South Gloucestershire",2020-04-18,1,0
"South Tyneside",2020-04-18,0,0
"Southampton",2020-04-18,0,0
"Southend-on-Sea",2020-04-18,0,0
"Southwark",2020-04-18,0,0
"St. Helens",2020-04-18,1,0
"Staffordshire",2020-04-18,8,1
"Stockport",2020-04-18,1,1
"Stockton-on-Tees",2020-04-18,0,0
"Stoke-on-Trent",2020-04-18,1,0
"Suffolk",2020-04-18,2,0
"Sunderland",2020-04-18,0,0
"Surrey",2020-04-18,7,1
"Sutton",2020-04-18,0,0
"Swindon",2020-04-18,0,0
"Tameside",2020-04-18,2,1
"Telford and Wrekin",2020-04-18,3,2
"Thurrock",2020-04-18,0,0
"Torbay",2020-04-18,0,0
"Tower Hamlets",2020-04-18,0,0
"Trafford",2020-04-18,1,1
"Wakefield",2020-04-18,1,1
"Walsall",2020-04-18,1,1
"Waltham Forest",2020-04-18,0,0
"Wandsworth",2020-04-18,1,1
"Warrington",2020-04-18,4,3
"Warwickshire",2020-04-18,3,0
"West Berkshire",2020-04-18,0,0
"West Sussex",2020-04-18,5,1
"Westminster",2020-04-18,0,0
"Wigan",2020-04-18,2,1
"Wiltshire",2020-04-18,0,0
"Windsor and Maidenhead",2020-04-18,1,0
"Wirral",2020-04-18,1,0
"Wokingham",2020-04-18,3,1
"Wolverhampton",2020-04-18,0,0
"Worcestershire",2020-04-18,2,0
"York",2020-04-18,1,0
"Notes:",2020-04-18,,
"1. Data provided by Care Quality Commission",2020-04-18,,
"2. Figures are for deaths CQC are notified of on the days specified. Figures only include deaths that were notified by 01 May 2020, and may be an underestimate due to notification delays.",2020-04-18,,
"3. Figures are for persons who were resident in and died in a care home",2020-04-18,,
"England",2020-04-19,218,95
"Barking and Dagenham",2020-04-19,0,0
"Barnet",2020-04-19,1,1
"Barnsley",2020-04-19,0,0
"Bath and North East Somerset",2020-04-19,1,0
"Bedford",2020-04-19,0,0
"Bexley",2020-04-19,5,1
"Birmingham",2020-04-19,5,2
"Blackburn with Darwen",2020-04-19,1,0
"Blackpool",2020-04-19,0,0
"Bolton",2020-04-19,1,0
"Bournemouth, Christchurch and Poole",2020-04-19,3,1
"Bracknell Forest",2020-04-19,0,0
"Bradford",2020-04-19,4,2
"Brent",2020-04-19,0,0
"Brighton and Hove",2020-04-19,2,1
"Bristol, City of",2020-04-19,2,1
"Bromley",2020-04-19,4,2
"Buckinghamshire",2020-04-19,1,0
"Bury",2020-04-19,1,1
"Calderdale",2020-04-19,0,0
"Cambridgeshire",2020-04-19,2,0
"Camden",2020-04-19,0,0
"Central Bedfordshire",2020-04-19,2,1
"Cheshire East",2020-04-19,0,0
"Cheshire West and Chester",2020-04-19,0,0
"Cornwall",2020-04-19,3,0
"County Durham",2020-04-19,1,1
"Coventry",2020-04-19,1,1
"Croydon",2020-04-19,1,0
"Cumbria",2020-04-19,0,0
"Darlington",2020-04-19,0,0
"Derby",2020-04-19,4,2
"Derbyshire",2020-04-19,1,0
"Devon",2020-04-19,3,2
"Doncaster",2020-04-19,1,0
"Dorset",2020-04-19,5,3
"Dudley",2020-04-19,0,0
"Ealing",2020-04-19,1,1
"East Riding of Yorkshire",2020-04-19,2,0
"East Sussex",2020-04-19,2,0
"Enfield",2020-04-19,3,1
"Essex",2020-04-19,8,4
"Gateshead",2020-04-19,0,0
"Gloucestershire",2020-04-19,1,1
"Greenwich",2020-04-19,0,0
"Hackney",2020-04-19,0,0
"Halton",2020-04-19,0,0
"Hammersmith and Fulham",2020-04-19,0,0
"Hampshire",2020-04-19,9,4
"Haringey",2020-04-19,1,1
"Harrow",2020-04-19,0,0
"Hartlepool",2020-04-19,0,0
"Havering",2020-04-19,0,0
"Herefordshire, County of",2020-04-19,0,0
"Hertfordshire",2020-04-19,3,1
"Hillingdon",2020-04-19,4,2
"Hounslow",2020-04-19,0,0
"Isle of Wight",2020-04-19,1,0
"Islington",2020-04-19,0,0
"Kensington and Chelsea",2020-04-19,0,0
"Kent",2020-04-19,7,3
"Kingston upon Hull, City of",2020-04-19,0,0
"Kingston upon Thames",2020-04-19,0,0
"Kirklees",2020-04-19,1,0
"Knowsley",2020-04-19,0,0
"Lambeth",2020-04-19,0,0
"Lancashire",2020-04-19,7,4
"Leeds",2020-04-19,5,3
"Leicester",2020-04-19,1,1
"Leicestershire",2020-04-19,3,1
"Lewisham",2020-04-19,0,0
"Lincolnshire",2020-04-19,1,1
"Liverpool",2020-04-19,1,0
"Luton",2020-04-19,0,0
"Manchester",2020-04-19,0,0
"Medway",2020-04-19,0,0
"Merton",2020-04-19,0,0
"Middlesbrough",2020-04-19,0,0
"Milton Keynes",2020-04-19,0,0
"Newcastle upon Tyne",2020-04-19,2,1
"Newham",2020-04-19,0,0
